college_name,score_type,seat_type,branch,max,min,Max Rank,Min Rank
"Vivekanand Education Society's Institute of Technology, Chembur, Mumbai",MHT-CET,OPEN,Information Technology,97.3569138,96.4930621,7928,10519
"Fr. Conceicao Rodrigues College of Engineering, Bandra,Mumbai",MHT-CET,OPEN,Computer Engineering,97.2283971,96.462186,8313,10612
"St. Francis Institute of Technology,Borivali, Mumbai",MHT-CET,OPEN,Computer Engineering,97.769552,94.8984549,6690,15303
"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai",MHT-CET,OPEN,Electronics and Telecommunication Engg,98.2037635,95.582729,5387,13250
"Vidyalankar Institute of Technology,Wadala, Mumbai",MHT-CET,OPEN,Computer Engineering,98.1024667,95.582729,5691,13250
"Thadomal Shahani Engineering College, Bandra, Mumbai",MHT-CET,OPEN,Computer Engineering,96.9513636,96.1988719,9144,11402
"Vivekanand Education Society's Institute of Technology, Chembur, Mumbai",MHT-CET,MI-MH,Information Technology,96.9198881,96.2092924,9239,11371
"Thakur College of Engineering and Technology, Kandivali, Mumbai",MHT-CET,OPEN,Computer Engineering,99.0020337,95.1396321,2992,14580
"Bhartiya Vidya Bhavan's Sardar Patel Institute  of Technology , Andheri, Mumbai",MHT-CET,OBC,Electronics and Telecommunication Engg,97.7872542,95.1396321,6637,14580
"Don Bosco Institute of Technology, Mumbai",MHT-CET,OPEN,Computer Engineering,95.9583037,95.7091432,12124,12871
"Vidyalankar Institute of Technology,Wadala, Mumbai",MHT-CET,OBC,Computer Engineering,96.4217829,95.3293762,10733,14010
"Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai",MHT-CET,OPEN,Information Technology,96.1197339,95.6018293,11639,13193
"Vidyalankar Institute of Technology,Wadala, Mumbai",MHT-CET,OPEN,Information Technology,98.0767376,95.0419966,5768,14873
"Don Bosco Institute of Technology, Mumbai",MHT-CET,OPEN,Computer Engineering,97.1847006,95.1149971,8444,14654
"S.I.E.S. Graduate School of Technology, Nerul, Navi Mumbai",MHT-CET,OPEN,Computer Engineering,97.0632959,94.8692104,8809,15391
"Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai",MHT-CET,OPEN,Information Technology,96.0459726,95.445301,11861,13663
"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai",MHT-CET,ST,Information Technology,95.6029376,95.4571374,13190,13627
"Vivekanand Education Society's Institute of Technology, Chembur, Mumbai",MHT-CET,OPEN,Computer Engineering,96.7270799,94.5114997,9817,16464
"Thakur College of Engineering and Technology, Kandivali, Mumbai",MHT-CET,OPEN,Information Technology,96.4217829,94.7959618,10733,15611
"Bhartiya Vidya Bhavan's Sardar Patel Institute  of Technology , Andheri, Mumbai",MHT-CET,SC,Electronics and Telecommunication Engg,96.3315796,94.6532277,11004,16039
"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai",MHT-CET,SC,Electronics and Telecommunication Engg,95.4607375,95.4571374,13616,13627
"S.I.E.S. Graduate School of Technology, Nerul, Navi Mumbai",MHT-CET,OPEN,Computer Engineering,96.2662876,95.0850751,11200,14743
"Vivekanand Education Society's Institute of Technology, Chembur, Mumbai",MHT-CET,OPEN,Information Technology,96.6451245,94.6469248,10063,16058
"Vidyalankar Institute of Technology,Wadala, Mumbai",MHT-CET,OBC,Computer Engineering,95.8135747,95.1149971,12558,14654
"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai",MHT-CET,OPEN,Electronics and Telecommunication Engg,96.774658,94.0838243,9675,17747
"Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai",MHT-CET,OPEN,Computer Engineering,97.7504615,93.9461665,6747,18160
"St. Francis Institute of Technology,Borivali, Mumbai",MHT-CET,OPEN,Computer Engineering,96.1795056,94.4333712,11460,16698
"Fr. Conceicao Rodrigues College of Engineering, Bandra,Mumbai",MHT-CET,OPEN,Computer Engineering,97.1309732,93.9121803,8606,18262
"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai",MHT-CET,SC,Electrical Engineering,96.0291229,93.9573805,11911,18126
"Thadomal Shahani Engineering College, Bandra, Mumbai",MHT-CET,OPEN,Electronics and Telecommunication Engg,95.9847681,94.6495249,12044,16050
"Vidyalankar Institute of Technology,Wadala, Mumbai",MHT-CET,OPEN,Information Technology,95.2051835,94.29291,14383,17120
"Thakur College of Engineering and Technology, Kandivali, Mumbai",MHT-CET,MI,Computer Engineering,97.4790321,92.8198061,7561,21539
"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai",MHT-CET,SC,Electrical Engineering,95.6714547,93.9573805,12984,18126
"Don Bosco Institute of Technology, Mumbai",MHT-CET,OPEN,Information Technology,94.9838648,94.280976,15047,17156
"Don Bosco Institute of Technology, Mumbai",MHT-CET,OPEN,Information Technology,95.1404707,94.3362575,14577,16990
"Thakur College of Engineering and Technology, Kandivali, Mumbai",MHT-CET,OPEN,Information Technology,97.3134328,93.7701957,8058,18688
"S.I.E.S. Graduate School of Technology, Nerul, Navi Mumbai",MHT-CET,OPEN,Information Technology,95.1190305,93.8196123,14641,18540
"Vidyalankar Institute of Technology,Wadala, Mumbai",MHT-CET,OBC,Information Technology,94.9002217,94.0029697,15298,17990
"Fr. Conceicao Rodrigues College of Engineering, Bandra,Mumbai",MHT-CET,OPEN,Computer Engineering,95.6090182,92.8130723,13171,21559
"Vidyalankar Institute of Technology,Wadala, Mumbai",MHT-CET,SC,Computer Engineering,95.7632883,93.3189344,12709,20042
"S.I.E.S. Graduate School of Technology, Nerul, Navi Mumbai",MHT-CET,OPEN,Information Technology,94.9538024,93.6527455,15137,19040
"Thadomal Shahani Engineering College, Bandra, Mumbai",MHT-CET,OPEN,Information Technology,94.8692104,94.0594995,15391,17820
"Manjara Charitable Trust's Rajiv Gandhi Institute of Technology, Mumbai",MHT-CET,OPEN,Computer Engineering,96.0722219,93.1221502,11782,20632
"Bharati Vidyapeeth College of Engineering,  Navi Mumbai",MHT-CET,OPEN,Computer Engineering,94.9082722,93.8196123,15274,18540
"Bharati Vidyapeeth College of Engineering,  Navi Mumbai",MHT-CET,OBC,Computer Engineering,94.3125425,94.3125425,17061,17061
"Xavier Institute Of Engineering C/O  Xavier Technical Institute,Mahim,Mumbai",MHT-CET,OPEN,Computer Engineering,95.4607375,93.0830039,13616,20750
"Thadomal Shahani Engineering College, Bandra, Mumbai",MHT-CET,OPEN,Electronics and Telecommunication Engg,95.2545256,92.9996682,14235,21000
"St. Francis Institute of Technology,Borivali, Mumbai",MHT-CET,OPEN,Information Technology,94.4073178,93.4562615,16777,19630
"Don Bosco Institute of Technology, Mumbai",MHT-CET,MI-MH,Information Technology,94.0029697,93.7141189,17990,18856
"Vivekanand Education Society's Institute of Technology, Chembur, Mumbai",MHT-CET,OPEN,Information Technology,94.5114997,92.9348086,16464,21194
"Manjara Charitable Trust's Rajiv Gandhi Institute of Technology, Mumbai",MHT-CET,OPEN,Computer Engineering,95.2545256,92.7152945,14235,21853
"St. Francis Institute of Technology,Borivali, Mumbai",MHT-CET,OPEN,Information Technology,94.8726477,93.1647267,15381,20504
"Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai",MHT-CET,OPEN,Information Technology,94.4723858,93.3189344,16581,20042
"Vidyalankar Institute of Technology,Wadala, Mumbai",MHT-CET,SC,Computer Engineering,94.2233079,93.2859511,17329,20141
"Xavier Institute Of Engineering C/O  Xavier Technical Institute,Mahim,Mumbai",MHT-CET,OPEN,Computer Engineering,93.9682991,93.4712841,18094,19585
"Manjara Charitable Trust's Rajiv Gandhi Institute of Technology, Mumbai",MHT-CET,ST,Computer Engineering,93.5731551,93.5731551,19279,19279
"Vidyalankar Institute of Technology,Wadala, Mumbai",MHT-CET,OBC,Information Technology,94.6495249,91.5409302,16050,25376
"Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai",MHT-CET,OPEN,Computer Engineering,94.29291,92.2448203,17120,23264
"Mahavir Education Trust's Shah & Anchor Kutchhi Engineering College, Mumbai",MHT-CET,OPEN,Computer Engineering,95.9847681,92.2346476,12044,23295
"S.I.E.S. Graduate School of Technology, Nerul, Navi Mumbai",MHT-CET,MI-MH,Information Technology,93.6527455,93.3189344,19040,20042
"Rizvi Education Society's Rizvi College of Engineering, Bandra,Mumbai",MHT-CET,OPEN,Computer Engineering,96.0282477,91.9143087,11914,24256
"Vivekanand Education Society's Institute of Technology, Chembur, Mumbai",MHT-CET,OPEN,Electronics and Telecommunication Engg,98.3558398,90.8966299,4931,27309
"Atharva College of Engineering,Malad(West),Mumbai",MHT-CET,OPEN,Computer Engineering,97.3519362,91.8235378,7943,24528
"Thadomal Shahani Engineering College, Bandra, Mumbai",MHT-CET,MI-MH,Electronics and Telecommunication Engg,94.6506656,92.553697,16047,22337
"Thadomal Shahani Engineering College, Bandra, Mumbai",MHT-CET,OPEN,Electronics and Telecommunication Engg,93.6035862,92.6197648,19188,22139
"Bharati Vidyapeeth College of Engineering,  Navi Mumbai",MHT-CET,OBC,Computer Engineering,93.7594912,92.1444652,18720,23565
"Fr. Conceicao Rodrigues College of Engineering, Bandra,Mumbai",MHT-CET,MI,Computer Engineering,97.9259472,88.9823699,6221,33052
"Atharva College of Engineering,Malad(West),Mumbai",MHT-CET,OPEN,Computer Engineering,94.9838648,92.0451859,15047,23863
"Bharati Vidyapeeth College of Engineering,  Navi Mumbai",MHT-CET,OPEN,Information Technology,93.9573805,92.2149174,18126,23354
"Bhartiya Vidya Bhavan's Sardar Patel Institute  of Technology , Andheri, Mumbai",MHT-CET,SC,Electronics and Telecommunication Engg,93.8196123,92.287017,18540,23138
"Bharati Vidyapeeth College of Engineering,  Navi Mumbai",MHT-CET,OPEN,Computer Engineering,94.3362575,90.92848,16990,27213
"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai",MHT-CET,ST,Electronics and Telecommunication Engg,95.95134,90.5879529,12145,28235
"Mahavir Education Trust's Shah & Anchor Kutchhi Engineering College, Mumbai",MHT-CET,OPEN,Computer Engineering,95.5557697,91.2502999,13331,26248
